FinalID,OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,Consumer,ConKingdom,ConTemp,ConMassValueSI,ConTempK,ConMassG
MTD2102,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000177585,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,10.0,0.15,283.15,150.0
MTD2102,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000181528,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,15.0,0.15,288.15,150.0
MTD2102,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.00038177400000000003,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,20.0,0.15,293.15,150.0
MTD2102,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000560485,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,25.0,0.15,298.15,150.0
MTD2102,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.0005276980000000001,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,30.0,0.15,303.15,150.0
MTD2102,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000279609,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,35.0,0.15,308.15,150.0
MTD2102,Surface Area-Specific Photosynthetic Oxygen Production Rate,-0.00013692,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,40.0,0.15,313.15,150.0
MTD2103,Surface Area-Specific Photosynthetic Oxygen Production Rate,-0.000113845,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,5.0,0.15,278.15,150.0
MTD2103,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.00024091099999999998,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,10.0,0.15,283.15,150.0
MTD2103,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000289177,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,15.0,0.15,288.15,150.0
MTD2103,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000334912,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,20.0,0.15,293.15,150.0
MTD2103,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000521224,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,25.0,0.15,298.15,150.0
MTD2103,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000474507,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,30.0,0.15,303.15,150.0
MTD2103,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.00041639199999999997,gram / (1 square meter * 1 second),Lomatia ferruginea,Plantae,35.0,0.15,308.15,150.0
